Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
1,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",Insufficient data available in last 24 hours.
2,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",53.00
3,,Anantapur,"Gulzarpet, Anantapur - APPCB",66.00
4,,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",56.00
5,,Eluru,"District Court, Eluru - APPCB",51.00
6,,Guntur,"Rajendra Nagar North, Guntur - APPCB",92.00
7,,Kadapa,"Yerramukkapalli, Kadapa - APPCB",80.00
8,,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",77.00
9,,Nellore,"Ambedkar Nagar, Nellore - APPCB ",92.00
10,,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",40.00
11,,Tirumala,"Toll Gate, Tirumala - APPCB",75.00
12,,Tirupati,"Vaikuntapuram, Tirupati - APPCB",59.00
13,,Vijayawada,"HB Colony, Vijayawada - APPCB",109.00
14,,,"Kanuru, Vijayawada - APPCB",63.00
15,,,"Rajiv Gandhi Park, Vijayawada - APPCB",58.00
16,,,"Rajiv Nagar, Vijayawada - APPCB",64.00
17,,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",98.00
18,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",52.00
19,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",122.00
20,,Guwahati,"IITG, Guwahati - PCBA",Insufficient data available in last 24 hours.
21,,,"LGBI Airport, Guwahati - PCBA",Insufficient data available in last 24 hours.
22,,,"Pan Bazaar, Guwahati - PCBA",Insufficient data available in last 24 hours.
23,,,"Railway Colony, Guwahati - PCBA",48.00
24,,Nagaon,"Christianpatty, Nagaon - PCBA",44.00
25,,Nalbari,"Bata Chowk, Nalbari - PCBA",45.00
26,,Silchar,"Tarapur, Silchar - PCBA",54.00
27,,Sivasagar,"Girls College, Sivasagar - PCBA",36.00
28,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",141.00
29,,Arrah,"New DM Office, Arrah - BSPCB",65.00
30,,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",108.00
31,,Begusarai,"Lohiyanagar, Begusarai - BSPCB",98.00
32,,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",42.00
33,,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",87.00
34,,,"Mayaganj, Bhagalpur - BSPCB",129.00
35,,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",56.00
36,,Buxar,"Charitra Van, Buxar - BSPCB",55.00
37,,Chhapra,"Darshan Nagar, Chhapra - BSPCB",83.00
38,,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Insufficient data available in last 24 hours.
39,,Gaya,"Collectorate, Gaya - BSPCB",179.00
40,,,"Kareemganj, Gaya - BSPCB",179.00
41,,,"SFTI Kusdihra, Gaya - BSPCB",62.00
42,,Hajipur,"Industrial Area, Hajipur - BSPCB",Insufficient data available in last 24 hours.
43,,Katihar,"Mirchaibari, Katihar - BSPCB",92.00
44,,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",52.00
45,,Manguraha,"Forest Rest House, Manguraha - BSPCB",228.00
46,,Motihari,"Gandak Colony, Motihari - BSPCB",127.00
47,,Munger,"Town Hall, Munger - BSPCB",53.00
48,,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",272.00
49,,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",63.00
50,,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",84.00
51,,Patna,"DRM Office Danapur, Patna - BSPCB",139.00
52,,,"Govt. High School Shikarpur, Patna - BSPCB",164.00
53,,,"IGSC Planetarium Complex, Patna - BSPCB",66.00
54,,,"Muradpur, Patna - BSPCB",204.00
55,,,"Rajbansi Nagar, Patna - BSPCB",103.00
56,,,"Samanpura, Patna - BSPCB",132.00
57,,Purnia,"Mariam Nagar, Purnia - BSPCB",76.00
58,,Rajgir,"Dangi Tola, Rajgir - BSPCB",52.00
59,,Saharsa,"Police Line, Saharsa - BSPCB",106.00
